Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_15-10_53_28
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473951208962,-135.489,-0.469,-51.542,5.0E-4,-0.6891,0.0013,0.7247,66.22,-0.0258,0.7968719,0.0,true,54.57,-1.0,0,2,-53.54,-48.35
1473951209035,-134.899,-0.469,-51.565,5.0E-4,-0.6911,0.0013,0.7228,66.45,-0.0258,0.7890593,0.0,true,54.14,-1.0,0,2,-53.54,-48.35
1473951209108,-134.307,-0.469,-51.585,5.0E-4,-0.693,0.0013,0.7209,66.68,-0.0258,0.7890593,0.0,true,53.72,-1.0,0,2,-53.54,-48.35
1473951209182,-133.714,-0.469,-51.602,5.0E-4,-0.695,0.0013,0.7191,66.9,-0.0258,0.7890593,0.0,true,53.29,-1.0,0,2,-53.54,-48.35
1473951209249,-133.118,-0.469,-51.615,5.0E-4,-0.6969,0.0013,0.7172,67.13,-0.0258,0.7890593,0.0,true,52.86,-1.0,0,2,-53.54,-48.35
1473951209321,-132.52,-0.469,-51.626,5.0E-4,-0.6989,0.0013,0.7153,67.35,-0.0258,0.77343404,0.0,true,52.42,-1.0,0,2,-53.54,-48.35
1473951209394,-131.92,-0.469,-51.633,4.0E-4,-0.7008,0.0013,0.7133,67.58,-0.0258,0.77343404,0.0,true,51.99,-1.0,0,2,-53.54,-48.35
1473951209468,-131.318,-0.469,-51.637,4.0E-4,-0.7028,0.0013,0.7114,67.8,-0.02416,0.7656214,0.0,true,51.55,-1.0,0,2,-53.54,-48.35
1473951209711,-130.714,-0.469,-51.638,4.0E-4,-0.7047,0.0013,0.7095,68.02,-0.01359,0.7578088,0.0,true,51.1,-1.0,0,2,-53.54,-48.35
1473951209770,-130.108,-0.47,-51.637,6.0E-4,-0.7062,0.0012,0.708,68.24,-0.01195,0.7578088,0.0,true,50.66,-1.0,0,2,-53.54,-48.35
1473951209819,-129.5,-0.47,-51.635,7.0E-4,-0.7072,0.0011,0.707,68.46,-0.0103,0.7499962,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951209869,-128.891,-0.47,-51.632,7.0E-4,-0.7081,0.001,0.7061,68.67,-0.00951,0.73437095,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951209921,-128.279,-0.47,-51.627,7.0E-4,-0.7089,0.001,0.7053,68.89,-0.00707,0.73437095,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951209993,-127.666,-0.47,-51.622,7.0E-4,-0.7095,0.001,0.7047,69.1,-0.00377,0.73437095,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210043,-127.05,-0.47,-51.616,8.0E-4,-0.71,0.001,0.7042,69.31,-0.00133,0.73437095,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210098,-126.433,-0.47,-51.611,8.0E-4,-0.7102,9.0E-4,0.704,69.52,0.00107,0.7265583,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210154,-125.814,-0.47,-51.605,9.0E-4,-0.7103,9.0E-4,0.7039,69.73,0.00266,0.7265583,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210205,-125.193,-0.47,-51.6,9.0E-4,-0.7102,8.0E-4,0.704,69.94,0.00351,0.7265583,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210265,-124.57,-0.47,-51.595,9.0E-4,-0.7099,8.0E-4,0.7043,70.14,0.00351,0.7265584,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210331,-123.945,-0.47,-51.591,9.0E-4,-0.7097,8.0E-4,0.7045,70.35,0.00351,0.7265583,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210403,-123.319,-0.47,-51.588,9.0E-4,-0.7094,8.0E-4,0.7048,70.56,0.00351,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210475,-122.69,-0.469,-51.585,9.0E-4,-0.7091,8.0E-4,0.7051,70.77,0.00351,0.7265583,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210545,-122.06,-0.469,-51.582,9.0E-4,-0.7089,8.0E-4,0.7054,70.98,0.00351,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210617,-121.428,-0.469,-51.58,9.0E-4,-0.7086,8.0E-4,0.7056,71.19,0.00351,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210690,-120.794,-0.469,-51.578,9.0E-4,-0.7083,8.0E-4,0.7059,71.4,0.00351,0.7265583,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210763,-120.158,-0.469,-51.577,9.0E-4,-0.708,8.0E-4,0.7062,71.61,0.00266,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210836,-119.52,-0.469,-51.576,9.0E-4,-0.7078,8.0E-4,0.7064,71.82,-5.4E-4,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210906,-118.881,-0.469,-51.575,9.0E-4,-0.7077,8.0E-4,0.7065,72.03,-0.00377,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951210977,-118.239,-0.47,-51.574,8.0E-4,-0.7078,9.0E-4,0.7064,72.24,-0.00707,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211051,-117.596,-0.47,-51.571,7.0E-4,-0.7082,0.001,0.706,72.45,-0.0103,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211123,-116.951,-0.47,-51.567,7.0E-4,-0.7088,0.0011,0.7054,72.66,-0.01439,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211194,-116.304,-0.47,-51.56,6.0E-4,-0.7098,0.0011,0.7044,72.87,-0.01768,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211266,-115.655,-0.47,-51.551,5.0E-4,-0.711,0.0012,0.7032,73.07,-0.01768,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211338,-115.004,-0.47,-51.538,5.0E-4,-0.7124,0.0012,0.7018,73.28,-0.01768,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211411,-114.352,-0.47,-51.524,5.0E-4,-0.7138,0.0013,0.7003,73.5,-0.01683,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211484,-113.697,-0.47,-51.506,5.0E-4,-0.7152,0.0012,0.6989,73.71,-0.01683,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211555,-113.041,-0.469,-51.486,5.0E-4,-0.7166,0.0012,0.6975,73.92,-0.01683,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211629,-112.383,-0.469,-51.464,5.0E-4,-0.718,0.0012,0.6961,74.13,-0.01683,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211700,-111.724,-0.469,-51.438,5.0E-4,-0.7193,0.0012,0.6947,74.34,-0.01683,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211945,-111.062,-0.469,-51.41,5.0E-4,-0.7207,0.0012,0.6932,74.55,-0.00707,0.7109331,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951211999,-110.399,-0.469,-51.381,6.0E-4,-0.7217,0.0011,0.6922,74.76,-0.00218,0.7109331,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212054,-109.734,-0.47,-51.352,7.0E-4,-0.7222,0.001,0.6917,74.97,0.00266,0.71093315,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212104,-109.067,-0.47,-51.323,9.0E-4,-0.7223,9.0E-4,0.6916,75.18,0.00675,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212157,-108.398,-0.47,-51.295,0.001,-0.722,7.0E-4,0.6919,75.39,0.00919,0.7109331,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212206,-107.727,-0.47,-51.269,0.0011,-0.7214,7.0E-4,0.6926,75.6,0.01083,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212257,-107.054,-0.47,-51.245,0.0011,-0.7206,6.0E-4,0.6934,75.82,0.01248,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212315,-106.379,-0.47,-51.222,0.0011,-0.7196,6.0E-4,0.6944,76.03,0.01412,0.7109331,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212366,-105.703,-0.47,-51.202,0.0012,-0.7185,6.0E-4,0.6955,76.24,0.01572,0.710933,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212426,-105.024,-0.47,-51.184,0.0012,-0.7173,6.0E-4,0.6967,76.45,0.01736,0.7109331,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212491,-104.344,-0.47,-51.169,0.0012,-0.716,5.0E-4,0.6981,76.66,0.01901,0.69530785,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212564,-103.661,-0.47,-51.157,0.0013,-0.7145,5.0E-4,0.6997,76.86,0.0198,0.7109331,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212637,-102.977,-0.47,-51.149,0.0013,-0.7128,4.0E-4,0.7013,77.07,0.0198,0.7109331,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212709,-102.29,-0.47,-51.143,0.0013,-0.7112,4.0E-4,0.703,77.28,0.0198,0.69530785,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212779,-101.602,-0.47,-51.141,0.0013,-0.7095,4.0E-4,0.7047,77.49,0.01901,0.69530785,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212852,-100.912,-0.469,-51.143,0.0013,-0.7078,4.0E-4,0.7064,77.69,0.01736,0.69530785,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212925,-100.221,-0.469,-51.147,0.0013,-0.7062,4.0E-4,0.708,77.89,0.01412,0.69530785,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951212995,-99.527,-0.47,-51.153,0.0012,-0.7048,5.0E-4,0.7094,78.1,0.01248,0.69530785,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213068,-98.832,-0.47,-51.162,0.0012,-0.7036,6.0E-4,0.7106,78.3,0.01083,0.6796826,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213141,-98.135,-0.47,-51.172,0.0011,-0.7025,6.0E-4,0.7116,78.5,0.01004,0.67187,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213216,-97.436,-0.47,-51.184,0.0011,-0.7016,6.0E-4,0.7126,78.7,0.01004,0.65624475,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213286,-96.735,-0.47,-51.198,0.0011,-0.7007,6.0E-4,0.7134,78.89,0.00919,0.6406195,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213360,-96.033,-0.47,-51.214,0.0011,-0.6998,6.0E-4,0.7143,79.07,0.00839,0.6015564,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213430,-95.33,-0.469,-51.231,0.0011,-0.6991,6.0E-4,0.7151,79.24,0.00595,0.57030594,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213502,-94.625,-0.469,-51.249,0.001,-0.6984,7.0E-4,0.7157,79.39,0.00266,0.5234302,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213573,-93.918,-0.469,-51.268,0.001,-0.698,7.0E-4,0.7161,79.53,-0.00298,0.44533452,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213646,-93.211,-0.47,-51.286,8.0E-4,-0.6979,8.0E-4,0.7162,79.63,-0.00707,0.33595788,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213718,-92.503,-0.47,-51.303,7.0E-4,-0.6983,9.0E-4,0.7158,79.69,-0.00951,0.1797055,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213791,-91.795,-0.47,-51.318,6.0E-4,-0.699,0.001,0.7152,79.62,-0.0103,0.023453116,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213864,-91.088,-0.47,-51.331,5.0E-4,-0.6998,0.001,0.7143,79.52,-0.0103,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951213936,-90.382,-0.469,-51.343,5.0E-4,-0.7007,0.001,0.7134,79.42,-0.0103,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214012,-89.676,-0.469,-51.352,5.0E-4,-0.7016,0.001,0.7125,79.32,-0.0103,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214083,-88.972,-0.469,-51.36,5.0E-4,-0.7025,0.001,0.7116,79.22,-0.0103,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214325,-88.268,-0.469,-51.366,5.0E-4,-0.7035,0.001,0.7107,79.12,-0.01195,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214375,-87.565,-0.469,-51.37,5.0E-4,-0.7044,0.001,0.7098,79.02,-0.01359,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214426,-86.864,-0.469,-51.371,5.0E-4,-0.7055,0.001,0.7087,78.91,-0.01359,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214477,-86.163,-0.469,-51.37,4.0E-4,-0.7067,0.0011,0.7075,78.81,-0.01359,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214530,-85.463,-0.469,-51.367,4.0E-4,-0.7079,0.0011,0.7063,78.71,-0.01359,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214579,-84.764,-0.469,-51.361,4.0E-4,-0.7091,0.0011,0.7051,78.61,-0.01359,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214630,-84.065,-0.469,-51.353,4.0E-4,-0.7103,0.0011,0.7039,78.51,-0.01274,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214687,-83.368,-0.469,-51.343,4.0E-4,-0.7114,0.0011,0.7028,78.41,-0.0103,0.0,0.06251621,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214739,-82.672,-0.469,-51.331,5.0E-4,-0.7124,0.001,0.7017,78.21,-0.00707,0.0,0.14845502,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214812,-81.979,-0.469,-51.318,5.0E-4,-0.7132,9.0E-4,0.7009,77.83,-0.00298,0.0,0.25001907,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214885,-81.29,-0.469,-51.304,5.0E-4,-0.7137,8.0E-4,0.7005,77.23,2.2E-4,0.0,0.3437705,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951214958,-80.608,-0.469,-51.291,6.0E-4,-0.7139,6.0E-4,0.7003,76.43,0.00186,0.0,0.41408408,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215030,-79.934,-0.469,-51.278,5.0E-4,-0.7138,5.0E-4,0.7003,75.46,0.00351,0.0,0.46095976,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215102,-79.269,-0.469,-51.266,5.0E-4,-0.7136,4.0E-4,0.7005,74.37,0.0076,0.0,0.4609598,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215172,-78.615,-0.469,-51.256,5.0E-4,-0.7132,2.0E-4,0.7009,73.26,0.01328,0.0,0.4609598,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215245,-77.97,-0.469,-51.247,6.0E-4,-0.7125,1.0E-4,0.7017,72.15,0.01901,0.0,0.46095982,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215318,-77.334,-0.469,-51.242,7.0E-4,-0.7113,0.0,0.7029,71.03,0.02145,0.0,0.476585,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215391,-76.709,-0.469,-51.24,8.0E-4,-0.7098,0.0,0.7044,69.89,0.02224,0.0,0.53905547,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215464,-76.095,-0.469,-51.241,8.0E-4,-0.7081,-1.0E-4,0.7061,68.65,0.02224,0.0,0.6328069,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215535,-75.492,-0.469,-51.245,8.0E-4,-0.7065,-1.0E-4,0.7078,67.21,0.02224,0.0,0.7187457,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215606,-74.904,-0.469,-51.252,7.0E-4,-0.7048,-1.0E-4,0.7094,65.58,0.02224,0.0,0.8437476,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215678,-74.331,-0.469,-51.261,6.0E-4,-0.7032,-2.0E-4,0.711,63.69,0.02145,0.0,0.96093696,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215749,-73.777,-0.469,-51.272,4.0E-4,-0.7017,-2.0E-4,0.7125,61.55,0.01901,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215822,-73.242,-0.469,-51.285,3.0E-4,-0.7003,-3.0E-4,0.7138,59.28,0.01572,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215892,-72.728,-0.469,-51.299,1.0E-4,-0.6992,-3.0E-4,0.715,56.99,0.01083,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951215963,-72.235,-0.469,-51.313,0.0,-0.6983,-2.0E-4,0.7158,54.7,0.00595,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216036,-71.761,-0.469,-51.326,0.0,-0.6977,-1.0E-4,0.7164,52.4,2.2E-4,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216108,-71.308,-0.469,-51.339,-1.0E-4,-0.6975,-1.0E-4,0.7166,50.11,-0.00462,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216180,-70.876,-0.469,-51.35,-1.0E-4,-0.6975,0.0,0.7165,47.82,-0.00951,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216251,-70.464,-0.469,-51.36,-2.0E-4,-0.6979,1.0E-4,0.7162,45.52,-0.01274,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216324,-70.072,-0.469,-51.368,-2.0E-4,-0.6984,1.0E-4,0.7157,43.23,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216567,-69.7,-0.469,-51.375,-2.0E-4,-0.699,1.0E-4,0.7152,40.93,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216617,-69.349,-0.469,-51.381,-2.0E-4,-0.6996,1.0E-4,0.7146,38.64,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216667,-69.018,-0.469,-51.387,-1.0E-4,-0.7001,0.0,0.714,36.35,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216717,-68.708,-0.469,-51.391,-1.0E-4,-0.7007,0.0,0.7135,34.05,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216767,-68.418,-0.469,-51.394,-1.0E-4,-0.7011,0.0,0.713,31.76,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216818,-68.148,-0.469,-51.397,-1.0E-4,-0.7016,0.0,0.7126,29.47,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216868,-67.899,-0.469,-51.4,-1.0E-4,-0.702,0.0,0.7121,27.18,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216920,-67.67,-0.469,-51.402,-1.0E-4,-0.7024,0.0,0.7118,24.88,-0.01359,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951216978,-67.462,-0.469,-51.403,-1.0E-4,-0.7028,0.0,0.7114,22.59,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217052,-67.274,-0.469,-51.405,-1.0E-4,-0.7031,0.0,0.7111,20.3,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217125,-67.106,-0.469,-51.405,-1.0E-4,-0.7034,0.0,0.7108,18.0,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217199,-66.959,-0.469,-51.406,-1.0E-4,-0.7037,0.0,0.7105,15.71,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217271,-66.832,-0.469,-51.407,-1.0E-4,-0.7039,-1.0E-4,0.7103,13.42,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217343,-66.725,-0.469,-51.407,-1.0E-4,-0.7041,-1.0E-4,0.7101,11.12,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217416,-66.639,-0.469,-51.407,0.0,-0.7043,-1.0E-4,0.71,8.83,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217488,-66.573,-0.469,-51.407,0.0,-0.7044,-1.0E-4,0.7098,6.54,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217560,-66.528,-0.469,-51.407,0.0,-0.7045,-1.0E-4,0.7098,4.24,-0.01439,0.0,1.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217634,-66.503,-0.469,-51.407,0.0,-0.7045,-1.0E-4,0.7097,1.95,-0.01439,0.0,0.77343404,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217704,-66.497,-0.469,-51.407,0.0,-0.7045,0.0,0.7097,0.03,-0.01439,0.0,0.5468681,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217777,-66.496,-0.469,-51.407,2.0E-4,-0.7045,2.0E-4,0.7097,0.17,-0.01439,0.0,0.21095598,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217851,-66.497,-0.469,-51.407,5.0E-4,-0.7045,5.0E-4,0.7097,0.03,-0.01439,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217922,-66.497,-0.47,-51.407,7.0E-4,-0.7045,7.0E-4,0.7097,0.04,-0.01439,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951217995,-66.497,-0.47,-51.407,9.0E-4,-0.7045,9.0E-4,0.7097,0.02,-0.01439,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218066,-66.497,-0.47,-51.407,9.0E-4,-0.7045,9.0E-4,0.7097,0.01,-0.01439,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218139,-66.497,-0.47,-51.407,9.0E-4,-0.7045,9.0E-4,0.7097,0.02,-0.01439,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218210,-66.497,-0.47,-51.407,9.0E-4,-0.7045,9.0E-4,0.7097,0.02,-0.01439,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218282,-66.497,-0.47,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.01,-0.01439,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218365,-66.497,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.01,-0.01439,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218429,-66.497,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.01,-0.01439,0.06251621,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218503,-66.497,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.01,-0.01439,0.14845502,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218575,-66.497,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.01,-0.01439,0.24220644,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218646,-66.497,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.01,-0.01359,0.28908217,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218888,-66.497,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.01,-0.01359,0.43752193,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218938,-66.497,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.04,-0.01359,0.4609598,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951218992,-66.496,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.09,-0.01359,0.47658503,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219048,-66.495,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.15,-0.01274,0.5156176,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219113,-66.493,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.22,-0.01274,0.5624933,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219162,-66.491,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.3,-0.01195,0.60936904,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219210,-66.488,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.41,-0.01195,0.67187,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219270,-66.483,-0.469,-51.407,8.0E-4,-0.7045,8.0E-4,0.7097,0.55,-0.01195,0.77343404,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219320,-66.477,-0.469,-51.408,8.0E-4,-0.7045,8.0E-4,0.7097,0.72,-0.01195,0.8281224,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219369,-66.47,-0.469,-51.408,9.0E-4,-0.7046,8.0E-4,0.7097,0.93,-0.01195,0.8749981,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219441,-66.46,-0.47,-51.408,9.0E-4,-0.7046,9.0E-4,0.7096,1.16,-0.01195,0.9453117,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219514,-66.448,-0.47,-51.408,9.0E-4,-0.7046,9.0E-4,0.7096,1.44,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219588,-66.434,-0.47,-51.408,9.0E-4,-0.7046,9.0E-4,0.7096,1.75,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219661,-66.416,-0.47,-51.408,9.0E-4,-0.7046,9.0E-4,0.7096,2.08,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219735,-66.396,-0.47,-51.408,9.0E-4,-0.7047,9.0E-4,0.7095,2.42,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219807,-66.373,-0.47,-51.408,9.0E-4,-0.7047,9.0E-4,0.7095,2.77,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219879,-66.346,-0.47,-51.408,9.0E-4,-0.7047,9.0E-4,0.7095,3.13,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473951219952,-66.316,-0.47,-51.408,9.0E-4,-0.7048,9.0E-4,0.7094,3.51,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
